time,vehicle_id,event
2015-02-01 01:15:00+00,V20333,pickup
2015-02-01 01:15:00+00,V19040,pickup
2015-02-01 01:16:00+00,V16118,dropoff
2015-02-01 01:16:00+00,V15792,dropoff
2015-02-01 01:16:00+00,V15327,dropoff
2015-02-01 01:17:00+00,V15173,dropoff
2015-02-01 01:17:00+00,V19040,dropoff
2015-02-01 01:17:00+00,V16254,pickup
2015-02-01 01:19:00+00,V15185,dropoff
2015-02-01 01:19:00+00,V16235,dropoff
2015-02-01 01:19:00+00,V20740,dropoff
2015-02-01 01:20:00+00,V19445,pickup
2015-02-01 01:22:00+00,V17994,dropoff
2015-02-01 01:22:00+00,V16254,dropoff
2015-02-01 01:22:00+00,V18487,pickup
2015-02-01 01:22:00+00,V15676,pickup
2015-02-01 01:22:00+00,V19269,pickup
2015-02-01 01:23:00+00,V19506,dropoff
2015-02-01 01:23:00+00,V20333,dropoff
2015-02-01 01:23:00+00,V19718,pickup
2015-02-01 01:23:00+00,V20638,pickup
2015-02-01 01:24:00+00,V20286,pickup
2015-02-01 01:26:00+00,V20638,dropoff
2015-02-01 01:27:00+00,V19269,dropoff
2015-02-01 01:28:00+00,V17783,pickup
2015-02-01 01:29:00+00,V15552,dropoff
2015-02-01 01:29:00+00,V18620,pickup
2015-02-01 01:29:00+00,V21046,pickup
2015-02-01 01:30:00+00,V17817,pickup
2015-02-01 01:30:00+00,V20117,pickup
2015-02-01 01:31:00+00,V21046,dropoff
2015-02-01 01:31:00+00,V18929,pickup
2015-02-01 01:31:00+00,V14707,pickup
2015-02-01 01:31:00+00,V19358,pickup
2015-02-01 01:32:00+00,V19445,dropoff
2015-02-01 01:32:00+00,V20117,dropoff
2015-02-01 01:33:00+00,V17783,dropoff
2015-02-01 01:33:00+00,V18667,pickup
2015-02-01 01:33:00+00,V17754,pickup
2015-02-01 01:34:00+00,V18881,pickup
2015-02-01 01:35:00+00,V20260,pickup
2015-02-01 01:35:00+00,V20322,pickup
2015-02-01 01:36:00+00,V19358,dropoff
2015-02-01 01:37:00+00,V17817,dropoff
2015-02-01 01:37:00+00,V14707,dropoff
2015-02-01 01:37:00+00,V16235,pickup
2015-02-01 01:37:00+00,V16528,pickup
2015-02-01 01:38:00+00,V18620,dropoff
2015-02-01 01:38:00+00,V20381,pickup
2015-02-01 01:38:00+00,V16810,pickup
2015-02-01 01:38:00+00,V21462,pickup
2015-02-01 01:39:00+00,V17754,dropoff
2015-02-01 01:39:00+00,V15391,pickup
2015-02-01 01:41:00+00,V18198,pickup
2015-02-01 01:41:00+00,V20015,pickup
2015-02-01 01:41:00+00,V16455,pickup
2015-02-01 01:41:00+00,V19837,pickup
2015-02-01 01:42:00+00,V17661,dropoff
2015-02-01 01:42:00+00,V19718,dropoff
2015-02-01 01:42:00+00,V20286,dropoff
2015-02-01 01:42:00+00,V18929,dropoff
2015-02-01 01:42:00+00,V17661,pickup
2015-02-01 01:43:00+00,V15676,dropoff
2015-02-01 01:44:00+00,V19837,dropoff
2015-02-01 01:44:00+00,V15230,pickup
2015-02-01 01:45:00+00,V16528,dropoff
2015-02-01 01:45:00+00,V21462,dropoff
2015-02-01 01:45:00+00,V19834,pickup
2015-02-01 01:45:00+00,V16863,pickup
2015-02-01 01:46:00+00,V18667,dropoff
2015-02-01 01:46:00+00,V16455,dropoff
2015-02-01 01:46:00+00,V18853,pickup
2015-02-01 01:47:00+00,V20322,dropoff
2015-02-01 01:48:00+00,V18881,dropoff
2015-02-01 01:48:00+00,V16810,dropoff
